lat,lon,ele
-33.411823425,-70.584294856,664.206
-33.416276707,-70.590984406,647.113
-33.419932773,-70.597624867,645.355
-33.423207032,-70.604724819,624.896
-33.426844182,-70.61230016,614.899
-33.431203969,-70.621299598,595.786
-33.432304737,-70.623202821,597.627
-33.438082398,-70.636449513,581.711
-33.444978773,-70.65206738,568.076
-33.449972538,-70.665762638,540.621
-33.450688187,-70.66765396,536.903
-33.455820422,-70.677172634,524.83
-33.460511013,-70.688528016,509.412
-33.461614528,-70.690436399,510.893
-33.462330896,-70.692329145,508.481
-33.465942504,-70.700863041,500.935
-33.472137887,-70.713673259,496.0
-33.476123131,-70.72267238,491.363
-33.479777487,-70.729820048,487.282
-33.484121173,-70.739802227,479.375
-33.489595127,-70.750729408,472.171
-33.490312208,-70.752628096,470.586
-33.491028649,-70.75451971,472.297
-33.494195597,-70.764896112,465.73
-33.497691626,-70.77715257,458.424
-33.498379378,-70.779977174,455.918
-33.499453568,-70.782815525,454.272
-33.500155434,-70.785174118,454.717
-33.502576367,-70.794596091,450.0
-33.50105908,-70.793609867,451.183
-33.498538503,-70.787452026,455.611
-33.49820887,-70.785572933,455.972
-33.496045981,-70.780361684,457.303
-33.494670307,-70.774711783,460.439
-33.492521195,-70.769034874,465.555
-33.489626803,-70.762398068,468.126
-33.486703347,-70.756693192,472.905
-33.48344895,-70.749096884,476.853
-33.478689494,-70.74004133,482.282
-33.477585669,-70.738130916,482.496
-33.476496142,-70.735755203,483.614
-33.470202753,-70.726172348,491.0
-33.469084039,-70.724732188,490.989
-33.47086234,-70.729924413,491.244
-33.472940656,-70.737936738,482.336
-33.475792892,-70.74600203,476.696
-33.47650972,-70.747903227,477.548
-33.477226613,-70.749804733,475.0
-33.480123437,-70.756440086,474.462
-33.484137886,-70.764520737,468.104
-33.485600388,-70.767381484,467.0
-33.48667572,-70.770225527,463.785
-33.494900323,-70.779854489,457.994
-33.500942469,-70.784734861,454.516
-33.500268962,-70.781443938,454.834
-33.49922322,-70.777673517,457.706
-33.497819305,-70.772957387,462.257
-33.494511152,-70.767240069,466.514
-33.493794839,-70.765348136,465.829
-33.490542573,-70.757766525,468.128
-33.487246837,-70.751580166,475.595
-33.486530319,-70.74969031,473.901
-33.481054304,-70.738741972,482.579
-33.476008968,-70.726393162,491.607
-33.475994646,-70.726858326,488.909
-33.478559816,-70.731640306,486.905
